Sender_Name,Sender_Email,Recipient_Email,Subject,Email_Body,Timestamp,Has_Attachment,Attachment_Type,URL_Count,URL_Domains,Email_Client,Language,Label
Jason Lindsey,susanrobinson@yahoo.com,mjackson@burton.com,Particular travel land participant federal.,Could forward occur quickly tend today focus. Project pattern part trip. Cultural thousand return call significant road leave. Stop run quality leader well. Month within take your way official. Play rate cause.,2025-03-27 07:36:36,True,zip,4,"oconnor.com, leon.org, scott-mckinney.org, morrison.info",Apple Mail,en,legitimate
Jessica Walter,harrisandrew@smith.org,sthompson@gmail.com,Matter because create later southern board one.,Apply she push loss right candidate attention. Boy feeling fine value lose recent land. Short interview perform seven.,2024-10-21 00:03:52,True,none,7,"simon-martinez.biz, french-holt.net, richmond.com, burke.info, collins.com, perry.com, price.net",Outlook,en,phishing
Willie Ingram,rmedina@johnson.com,gordonamy@hart.com,Piece phone tend form fish white.,Shoulder seek black wall. Have between minute feeling compare. Cold remember town ready culture maybe us. Protect power market inside crime another far natural. Major ago environment loss main company. In number white wrong. His course health personal.,2024-11-15 04:20:56,True,none,9,"moses.info, joseph.com, cox.com, fernandez-bond.org, powers.com, wilson.info, duncan-porter.info, brown-rosario.com, johnson.com",Apple Mail,es,phishing
Misty Stevenson,leonallison@brown-anderson.net,catherine45@ramos.com,Music evening huge put.,Someone poor professor quite forward free. Last clear type provide believe. Management thousand begin yourself left painting set.,2024-11-02 09:17:45,False,none,8,"burns.net, liu.org, odom.net, evans.info, hernandez.info, sanchez.com, murray.net, nguyen.com",Thunderbird,en,phishing
Julian Cline,chavezbrandon@hotmail.com,ricekaitlyn@yahoo.com,I third them vote direction.,Group bit us force can true. Establish adult born beyond compare choice energy. Between according hair born.,2025-03-10 00:03:16,True,none,10,"mitchell.com, wolf-snow.info, fitzgerald.com, miller.com, harris-smith.com, spencer.net, rose-gutierrez.org, keith.net, parrish.info, todd.biz",Outlook,zh,legitimate
Steven Hernandez,rogersamanda@giles-bush.org,smithelaine@white.com,Thank college none race material.,Hear history another view memory you. Maintain sing past pull poor sound recent. Southern fight others pass of peace same. Provide minute blood scientist article event senior. Central sometimes personal truth world.,2024-05-14 22:54:01,True,pdf,1,collins.com,Outlook,de,legitimate
Erika Washington,sodom@yahoo.com,joshua52@yahoo.com,Team less enough adult seven.,Every treat create room style green. Tough trip series oil reduce. Since if several black sell cause front. Six late late development safe.,2024-11-25 14:25:41,False,none,8,"hartman.com, brown-palmer.net, callahan.info, rodriguez.biz, cooper-harvey.biz, smith-burgess.org, sosa.info, sampson.net",Thunderbird,fr,legitimate
Debbie Lopez,williamsanchez@hotmail.com,jennagentry@morse-lynch.info,Explain high actually guess lose almost.,Different force where nation. Modern relationship style already too truth agency. Certainly sort Democrat either continue improve. Stock century experience quite.,2024-11-25 01:36:35,True,zip,10,"smith.info, lara-green.net, nichols.com, barber-wood.com, moody-stone.org, hall.com, francis.net, wilson.com, woodward.org, robinson-cardenas.com",Thunderbird,de,legitimate
Jacob Kent,brownrebecca@armstrong.biz,charlesgarcia@mitchell.com,Fall choice simply step protect.,Beyond official go impact half name condition. North make laugh laugh. Myself change all fire list now usually. Run adult occur particular prevent walk international dinner.,2025-01-07 08:59:59,True,xlsx,0,,Thunderbird,en,phishing
Virginia Coleman,hayley17@hotmail.com,turnerangie@hotmail.com,Body reduce need wish.,Soon great about baby middle. Wind share including follow tree human. Model partner amount PM. Moment heart film every force create camera. Local your say mean like daughter staff nature.,2024-11-18 21:42:22,False,none,9,"brown-young.com, reed-escobar.com, snyder.biz, campbell.info, white.net, hill-young.com, barrera-jones.org, case.com, smith.com",Thunderbird,en,phishing
Mark Crawford,johnsonrobert@lee.com,adamadams@yahoo.com,Know send difference dinner bank red trade.,Leg word black main he doctor write. Single lawyer also across meeting act country. Pick always section teacher decide ask thought call. Standard political wait husband onto. Year necessary page. Picture write large reach several bad.,2025-01-19 19:30:50,False,none,0,,Gmail,en,phishing
William Thompson,swright@rivera-cook.com,allenbenjamin@hotmail.com,Teach business forget would.,Possible technology her research ground learn good can. Season big civil bed what maybe. Loss power word baby campaign list.,2025-02-20 15:00:08,True,exe,10,"soto.com, calhoun.com, green.com, clark.com, hess.com, gomez-chapman.com, booth.com, foster-lewis.com, johnson.com, clark.net",Yahoo,de,legitimate
Rachel Jackson,lopezcandice@sharp-wells.com,qbrown@yahoo.com,Prevent dinner police decide feel trip bill poor.,Scene discussion foreign total. System purpose second oil. Political board radio big front. Tell agreement your remember serious. Front draw smile research class understand.,2024-04-18 23:25:40,False,none,5,"allen-white.com, murray.com, rodriguez-stewart.com, ingram.com, hernandez-romero.com",Apple Mail,zh,phishing
Joe Byrd,buchananandrew@wright.com,michellesanchez@yahoo.com,Traditional trip us stuff any term impact.,First respond impact. Rise road many little hard. Whole political during science her. Conference full carry. Voice thought throw read chance. Card anything speech station through recognize bring that.,2024-07-05 10:37:46,True,docx,4,"wilson.biz, porter.net, rodriguez.com, robles.com",Apple Mail,fr,phishing
Traci Mason,patriciareeves@carlson.info,markwhite@hotmail.com,Story culture military.,Season theory no project lose. System board it let anyone. Rate agent above whatever production social husband. What green chance early because kitchen. Than involve write common. Today beautiful statement side each.,2024-11-08 16:17:51,True,none,8,"matthews.com, peterson.net, kim-underwood.com, burns.net, golden-banks.info, young.com, reilly-simpson.info, bailey.com",Thunderbird,de,phishing
Eugene Young,mark50@hotmail.com,benjaminbrooks@yahoo.com,Technology worker over test way.,Maintain certain either instead us cultural people. Interest only economy team produce hotel mention thought. Prevent describe buy onto both picture someone. Treatment but whether pay eight.,2025-02-07 12:35:53,False,none,8,"fleming-scott.biz, benitez-clark.com, parrish-peterson.com, campbell.info, dudley.com, nelson.org, gutierrez.com, travis.biz",Thunderbird,de,legitimate
Charles Ramirez,tjohnson@gmail.com,robertbutler@hotmail.com,Human night dog character summer event.,Sometimes likely keep science money call whose. Film wait determine purpose little. Growth save few bad figure result. Particularly information hair. Resource without perform painting.,2025-03-06 03:38:53,False,none,5,"morrow.com, oliver-koch.org, reynolds.com, deleon.com, price.com",Yahoo,en,legitimate
